,상태,공고번호,축,품종,털색,성,중성화 여부,특징,접수일시
0,0,전남,개,믹스견,흰,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
1,0,전남,개,믹스견,흰,수컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-09
5,0,전북,개,믹스견,흰,수컷,미상,"2개월령 믹스견 수컷, 흰색",2020-05-09
6,0,전북,개,믹스견,흰,수컷,미상,2개월령 믹스견 수컷,2020-05-09
7,0,전북,개,믹스견,흰,수컷,미상,2개월령 믹스견 수컷,2020-05-09
8,1,전북,개,믹스견,흰,수컷,미상,2개월령 믹스견 수컷,2020-05-09
9,1,전북,개,믹스견,흰,암컷,미상,"2개월령 암컷, 흰색 믹스견",2020-05-09
13,1,경북,개,푸들,황,암컷,아니오,"야윔, 우전지 골절 상태 오래됨",2020-05-09
16,0,인천,개,믹스견,흰,수컷,아니오,생후 2개월령,2020-05-09
17,0,세종,개,말티즈,흰,수컷,아니오,털관리 안됨. 가위로 대충 털 자름.,2020-05-09
20,1,경북,개,포메라니안,흰,수컷,아니오,이빨이 다 &#50026;음,2020-05-09
21,1,강원,개,진도견,흰,수컷,아니오,핑크색 목줄만 착용,2020-05-09
25,1,경남,개,골든 리트리버,황,암컷,미상,634,2020-05-09
28,1,전남,개,스피츠,흰,수컷,미상,"순하고 잘따름,관리됨,활발함",2020-05-09
29,1,전남,개,푸들,황,암컷,미상,"미용 및 관리됨,목줄착용,순함",2020-05-09
32,1,충남,개,믹스견,황,암컷,미상,비맞으며 초등학교 한가운데서 배회..멀미해서 침흘림.순함.,2020-05-09
33,1,강원,개,푸들,흰,암컷,미상,"흰색, 겁이 많음.",2020-05-09
35,0,강원,개,믹스견,흰,수컷,미상,"흰색, 진드기있음, 성격 온순.",2020-05-09
39,1,경기,개,스피츠,흰,암컷,미상,연두색 목걸이. 눈물자국. 코갈검. 겁있음. 사람따름. 얌전함. 단미안됨.,2020-05-09
46,1,경기,개,라브라도 리트리버,검,암컷,아니오,없음,2020-05-09
47,1,경기,개,그레이트 피레니즈,흰,암컷,미상,"주황색 목줄, 쇠로된 은색 목걸이 착용",2020-05-09
49,1,경기,개,스피츠,흰,수컷,아니오,털복실 순한 스피츠,2020-05-09
70,0,인천,개,믹스견,흰,수컷,아니오,어미와 같이 구조됨,2020-05-09
77,1,부산,개,말티즈,흰,수컷,미상,흰색,2020-05-09
83,1,서울,개,믹스견,흰,수컷,아니오,양눈백내장.양귀쫑긋.코갈색.치석심함.겁있음.소심함.사람따름.,2020-05-09
85,1,서울,개,말티즈,흰,암컷,아니오,"현재 발정중, 양호함. 가출로 보여짐",2020-05-09
86,1,서울,개,믹스견,황,암컷,미상,양귀쫑긋. 코검정. 겁많음. 소심함. 꼬리단미안됨. 털상태 양호.,2020-05-09
90,1,강원,개,말티즈,흰,암컷,아니오,"옷착용, 미용됨",2020-05-09
91,1,서울,개,스피츠,흰,암컷,아니오,"순하고사람잘따름,피부귀상태양호.칩없음",2020-05-09
93,1,경북,개,믹스견,흰,수컷,아니오,남천강변에서 배회,2020-05-09
109,1,충남,개,푸들,검,암컷,아니오,765호(관리) 411호(공고) 온순함,2020-05-09
119,1,충남,개,푸들,검,암컷,아니오,765호(관리) 411호(공고) 온순함,2020-05-09
120,1,충남,개,믹스견,흰,수컷,아니오,764호(관리) 410호(공고) 착함,2020-05-09
124,1,경기,개,믹스견,흰,암컷,아니오,"채리아이, 겁이다소 있으나 온순함",2020-05-09
125,0,경기,개,믹스견,흰,암컷,아니오,겁이많음,2020-05-09
126,0,경기,개,믹스견,흰,수컷,아니오,"겁이 다소 있으나, 온순함",2020-05-09
127,0,경기,개,진도견,흰,수컷,아니오,경계심이 많고 사나움,2020-05-09
128,0,경기,개,풍산견,흰,암컷,아니오,온순함,2020-05-09
139,1,경기,개,믹스견,황,수컷,아니오,"GPS착용, 온순함",2020-05-09
140,1,경기,개,스피츠,흰,암컷,아니오,온순함,2020-05-09
144,0,경기,개,진도견,황,암컷,아니오,"좌측다리 부상, 경계심이 다소있음",2020-05-09
146,0,경기,개,진도견,흰,수컷,아니오,온순함,2020-05-09
156,1,경기,개,푸들,황,수컷,예,인식표있으나 주인전화 안받음,2020-05-09
158,1,경기,개,케인 코르소,검,암컷,아니오,강아지,2020-05-09
159,1,경기,개,코리아 트라이 하운드,검,수컷,아니오,강아지,2020-05-09
160,1,경기,개,믹스견,흰,암컷,아니오,순함,2020-05-09
165,1,경기,개,푸들,황,수컷,예,칩있음.,2020-05-09
181,1,광주,개,말티즈,흰,암컷,미상,20-0669 눈이,2020-05-09
194,1,대구,개,말티즈,흰,암컷,미상,겁 많음,2020-05-09
200,0,전북,개,믹스견,흰,암컷,아니오,흰색을 띄고 있음,2020-05-08
210,0,전북,개,믹스견,흰,암컷,아니오,흰색을 띄고 있음,2020-05-08
222,0,경남,개,삽살개,황,암컷,아니오,순함,2020-05-08
224,0,경남,개,믹스견,흰,수컷,예,사나움,2020-05-08
225,0,경남,개,믹스견,흰,암컷,아니오,까칠함,2020-05-08
229,0,전남,개,믹스견,흰,수컷,아니오,5마리 중에서 가장 온순함,2020-05-08
230,0,전남,개,믹스견,황,수컷,아니오,5마리 중에서 가장 까칠함 그러나 그것이 매력,2020-05-08
231,0,전남,개,믹스견,황,수컷,아니오,5마리 중에서 가장 애교를 부림,2020-05-08
232,0,전남,개,믹스견,흰,암컷,아니오,유기견이 빈집에 들어와서 세끼 출산 어미견 포획 실패.,2020-05-08
233,0,전남,개,믹스견,흰,암컷,아니오,아직 손을 타지 않아서 조금은 성깔을 부림,2020-05-08
236,0,전남,개,믹스견,흰,암컷,아니오,마을에 돌면서 운동이나 산책하는 아이와 주부들에게 위협적인 행동,2020-05-08
244,1,제주,개,푸들,검,수컷,예,(개체관리번호2417),2020-05-08
245,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2416)생후2개월,2020-05-08
246,1,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2415)생후7개월,2020-05-08
247,1,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2414)생후7개월,2020-05-08
248,1,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2413)생후7개월,2020-05-08
249,1,제주,개,골든 리트리버,황,수컷,아니오,(개체관리번호2412)생후8개월,2020-05-08
251,0,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2410)생후2개월,2020-05-08
252,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2409)생후2개월,2020-05-08
253,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2408)생후2개월,2020-05-08
254,1,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2407)생후6개월,2020-05-08
255,1,제주,개,푸들,황,수컷,아니오,(개체관리번호2406),2020-05-08
256,0,제주,개,믹스견,흰,수컷,미상,"(개체관리번호2405)연두색하트 줄, 심장사상충",2020-05-08
257,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2404)생후10개월,2020-05-08
258,1,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2403)생후3개월,2020-05-08
259,0,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2402)생후3개월,2020-05-08
260,0,제주,개,믹스견,검,암컷,아니오,(개체관리번호2401)생후6개월,2020-05-08
261,0,제주,개,믹스견,검,암컷,미상,"(개체관리번호2400)심장사상충, 경계심",2020-05-08
262,0,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2399)생후6개월,2020-05-08
263,1,제주,개,페키니즈,흰,암컷,아니오,"(개체관리번호2398)생후10개월, 빨간목줄 착용",2020-05-08
264,0,제주,개,믹스견,흰,수컷,미상,(개체관리번호2397)파/노목줄 착용,2020-05-08
265,0,제주,개,믹스견,흰,암컷,아니오,"(개체관리번호2396)생후7개월, 파란버클목줄 착용, 경계심",2020-05-08
266,1,경남,개,믹스견,흰,수컷,아니오,J-5-1-17-5 흰색,2020-05-08
267,1,경남,개,믹스견,흰,암컷,아니오,J-5-1-17-4 흰색,2020-05-08
275,1,경남,개,스피츠,흰,암컷,미상,627,2020-05-08
277,1,경남,개,말티즈,흰,암컷,아니오,"미용, 온순함",2020-05-08
278,1,경남,개,푸들,황,암컷,아니오,"미용 흔적 있음, 엄청 친화적임",2020-05-08
280,0,경북,개,믹스견,흰,암컷,아니오,귀가 진한 황색,2020-05-08
285,1,전북,개,말티즈,흰,수컷,아니오,부분미용이되여있고 아주작고순함,2020-05-08
286,1,전북,개,믹스견,검,암컷,아니오,생후5일정도 아주작음,2020-05-08
287,1,전북,개,믹스견,황,암컷,아니오,생후5일정도 아주작음,2020-05-08
288,0,전북,개,믹스견,흰,암컷,아니오,생후5일정도아주작음,2020-05-08
289,1,전북,개,믹스견,흰,암컷,아니오,생후5일정도 아주작음,2020-05-08
291,0,전북,개,믹스견,흰,암컷,아니오,발발이믹스개이며 사나운편임,2020-05-08
292,1,전북,개,포메라니안,흰,수컷,아니오,생후5개월정도 아주순하며이쁘게생김,2020-05-08
294,1,충북,개,믹스견,황,수컷,아니오,피부불량및 영양부족,2020-05-08
305,0,울산,개,믹스견,황,암컷,아니오,새끼6마리와입소,2020-05-08
315,0,울산,개,믹스견,황,암컷,아니오,새끼6마리와입소,2020-05-08
328,1,부산,개,말티즈,흰,수컷,미상,"111-불랙화이트 옷 착용, 허약",2020-05-08
332,1,부산,개,말티즈,흰,수컷,아니오,무지개색옷착용,2020-05-08
342,1,서울,개,푸들,황,수컷,아니오,코검정. 발털밀려있음. 얌전. 사람따름. 꼬리단미됨. 털상태양호.,2020-05-08
344,1,강원,개,믹스견,흰,암컷,아니오,두마리 함께,2020-05-08
345,1,강원,개,믹스견,흰,암컷,아니오,꼬리분홍염색,2020-05-08
346,0,인천,개,믹스견,흰,암컷,미상,노랑무늬목줄/온순함,2020-05-08
348,1,경북,개,믹스견,흰,수컷,미상,"2개월령 추정, 순한편",2020-05-08
349,1,경북,개,믹스견,흰,수컷,미상,"2개월령 추정, 순한편",2020-05-08
350,1,경북,개,믹스견,흰,암컷,미상,"2개월령 추정, 순함",2020-05-08
351,1,경북,개,믹스견,흰,수컷,미상,"2개월령 추정, 순함",2020-05-08
354,1,경북,개,믹스견,황,수컷,아니오,오른쪽다리 상처로 잘 일어서지 못함,2020-05-08
359,0,전남,개,믹스견,황,암컷,아니오,"종합백신,코로나예방,프론트라인,광견병,사상충-음성",2020-05-08
384,0,경기,개,믹스견,흰,수컷,아니오,양귀접힘. 코검정. 귀쪽갈색털. 사람따름. 얌전.,2020-05-08
387,0,경기,개,푸들,황,수컷,아니오,코검정.사람따름.얌전.마킹함.꼬리단미됨.털상태양호.신고인이 미용해줌.,2020-05-08
388,0,경기,개,믹스견,황,수컷,아니오,양귀처짐.코검정.겁많음.비명지름.방어적입질.진드기오염.,2020-05-08
389,0,경기,개,믹스견,황,수컷,아니오,양귀끝살짝처짐.코검정.겁많음.낑낑댐.손대면비명지름.진드기오염.,2020-05-08
393,0,인천,개,믹스견,흰,암컷,아니오,"들개,포악",2020-05-08
400,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2375)생후1개월,2020-05-08
402,1,경남,개,믹스견,흰,암컷,미상,3개월 가량,2020-05-08
408,0,경남,개,믹스견,황,수컷,아니오,포획틀 이용 포획,2020-05-08
410,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2375)생후1개월,2020-05-08
412,1,경남,개,믹스견,흰,암컷,미상,3개월 가량,2020-05-08
418,0,경남,개,믹스견,황,수컷,아니오,포획틀 이용 포획,2020-05-08
429,1,경남,개,믹스견,황,암컷,미상,갈색,2020-05-08
431,1,경남,개,푸들,황,수컷,예,"순함, RFID번호있음, 주인과통화안됨",2020-05-08
434,1,경북,개,푸들,검,암컷,아니오,"블랙 푸들, 동물병원 앞 인도에서 배회",2020-05-08
437,1,경북,개,말티즈,흰,암컷,아니오,사진에 보이는 목줄이 달려 있음,2020-05-08
446,0,전남,개,믹스견,검,암컷,아니오,온순함,2020-05-08
447,0,전남,개,믹스견,검,암컷,아니오,온순함,2020-05-08
448,0,전남,개,믹스견,검,암컷,아니오,온순함,2020-05-08
449,0,전남,개,믹스견,황,암컷,아니오,눈이 큼,2020-05-08
454,0,전북,개,믹스견,흰,암컷,아니오,목줄없음,2020-05-08
456,0,전북,개,믹스견,검,수컷,아니오,들개새끼,2020-05-08
457,0,전북,개,믹스견,흰,암컷,아니오,들개새끼,2020-05-08
458,1,전북,개,믹스견,흰,수컷,아니오,들개새끼,2020-05-08
459,0,전북,개,믹스견,흰,암컷,아니오,들개새끼,2020-05-08
460,0,전북,개,믹스견,흰,수컷,아니오,들개새끼,2020-05-08
462,0,전북,개,믹스견,검,암컷,아니오,들개 새끼,2020-05-08
463,0,전북,개,믹스견,검,수컷,아니오,들개 새끼,2020-05-08
464,0,전북,개,믹스견,검,암컷,아니오,들개 새끼,2020-05-08
465,0,전북,개,믹스견,검,암컷,아니오,들개 번식견,2020-05-08
466,0,전북,개,믹스견,검,암컷,아니오,들개 번식견,2020-05-08
467,0,전북,개,믹스견,검,암컷,아니오,들개 번식견,2020-05-08
468,0,전북,개,믹스견,검,수컷,아니오,들개/ 민가주변 무리생활,2020-05-08
470,1,전북,개,말티즈,흰,수컷,예,얼굴털등 미용하여 전반적으로 털이 짧음,2020-05-08
472,1,전북,개,믹스견,흰,암컷,아니오,목줄있음,2020-05-08
480,1,전북,개,푸들,황,수컷,예,콧등탈모,2020-05-08
482,0,충남,개,믹스견,흰,암컷,미상,"파란색 목줄 착용,순함",2020-05-08
484,1,충남,개,믹스견,검,암컷,미상,사람 잘 따름,2020-05-08
486,0,충남,개,믹스견,흰,암컷,미상,.,2020-05-08
488,0,충남,개,믹스견,황,암컷,아니오,닭 사냥꾼 3인방,2020-05-08
490,0,충남,개,믹스견,황,수컷,아니오,닭 사냥꾼 3인방,2020-05-08
495,1,충남,개,믹스견,황,수컷,미상,"보호소내 출산, 어미견(2020-00168)",2020-05-08
496,1,충남,개,믹스견,흰,수컷,미상,"건강상태 양호, 인공수유중",2020-05-08
500,1,강원,개,믹스견,흰,수컷,아니오,박스 2개에 담겨서 버려짐,2020-05-08
501,1,강원,개,믹스견,흰,암컷,아니오,박스 2개에 담아서 버림,2020-05-08
502,1,강원,개,믹스견,흰,수컷,아니오,박스 2개에 담아서 버림,2020-05-08
503,1,강원,개,믹스견,흰,수컷,아니오,박스 2개에 담아서 버림,2020-05-08
504,1,강원,개,믹스견,흰,암컷,아니오,박스2개에 담아서 버림,2020-05-08
505,1,강원,개,믹스견,흰,암컷,아니오,박스2개에 버림,2020-05-08
507,0,강원,개,믹스견,흰,수컷,아니오,두마리 한번에 포획,2020-05-08
508,0,강원,개,믹스견,검,수컷,미상,2마리한번에 포획,2020-05-08
510,1,강원,개,믹스견,흰,수컷,아니오,박스 2개에 담겨서 버려짐,2020-05-08
511,1,강원,개,믹스견,흰,암컷,아니오,박스 2개에 담아서 버림,2020-05-08
512,1,강원,개,믹스견,흰,수컷,아니오,박스 2개에 담아서 버림,2020-05-08
513,1,강원,개,믹스견,흰,수컷,아니오,박스 2개에 담아서 버림,2020-05-08
514,1,강원,개,믹스견,흰,암컷,아니오,박스2개에 담아서 버림,2020-05-08
515,1,강원,개,믹스견,흰,암컷,아니오,박스2개에 버림,2020-05-08
517,0,강원,개,믹스견,흰,수컷,아니오,두마리 한번에 포획,2020-05-08
518,0,강원,개,믹스견,검,수컷,미상,2마리한번에 포획,2020-05-08
520,1,강원,개,믹스견,흰,암컷,미상,얌전한 성격이며 귀만 연한 갈색을 띰,2020-05-08
522,1,강원,개,푸들,흰,암컷,아니오,"칩등록됨(없는번호),심장사상충감염,털심하게엉킴",2020-05-08
523,0,강원,개,믹스견,흰,수컷,미상,"흰색, 갈색목줄 착용, 온순.",2020-05-08
527,1,경기,개,코카 스파니엘,황,암컷,아니오,"5-38, 칩없음, 코카 믹스, 귀엽고 착한 아이, 겁이 조금 있음",2020-05-08
528,1,경기,개,푸들,검,수컷,아니오,"5-37, 칩없음, 털엉킴이 심해 신고자분이 미용 시킴, 순하고 예쁜 아이",2020-05-08
529,1,경기,개,푸들,흰,수컷,예,"5-36, 외장칩착용했으나 번호가 결번인 상태, 순하고 착한 아이, 말티푸, 미용되어있음",2020-05-08
540,0,경기,개,진도견,황,수컷,아니오,체인목줄,2020-05-08
544,0,경기,개,믹스견,검,수컷,미상,경계가 있어 겁을 많이 냄.,2020-05-08
545,1,경기,개,믹스견,흰,암컷,미상,"순한편이고 겁이많음,174번 모견과 함께 들어옴.",2020-05-08
546,0,경기,개,믹스견,흰,암컷,미상,순하며 174번 모견과 함께 들어옴.,2020-05-08
547,0,경기,개,믹스견,흰,암컷,미상,순한편.자견2마리와 함께 들어옴.,2020-05-08
548,0,경기,개,믹스견,흰,암컷,아니오,"용문천 마을 배회, 목걸이/목줄 X",2020-05-08
549,1,경기,개,믹스견,흰,암컷,아니오,"용문천 마을 배회, 목걸이/목줄 X",2020-05-08
550,0,경기,개,믹스견,흰,수컷,아니오,"용문천 마을 배회, 목걸이/목줄 X",2020-05-08
552,0,경기,개,믹스견,흰,암컷,아니오,"마을 배회, 붉은색(파란라인) 목줄 착용 / 목줄 X",2020-05-08
553,0,경기,개,믹스견,흰,수컷,아니오,"조종소방서에서 인수받음, 마을 배회중 구조, 붉은색 목걸이 착용/ 사슬형 목줄 착용",2020-05-08
555,1,경기,개,믹스견,흰,암컷,아니오,완전 새끼임. 20일정도 된듯.,2020-05-08
556,1,경기,개,믹스견,흰,암컷,아니오,교통사고 앞다리 골절,2020-05-08
557,0,경기,개,믹스견,흰,수컷,아니오,"홍역,후구마비,승저증,폐렴,신경증상",2020-05-08
566,1,경기,개,케인 코르소,검,암컷,아니오,빨간목줄착용,2020-05-08
567,1,경기,개,믹스견,흰,암컷,아니오,20일 추정,2020-05-08
568,1,경기,개,믹스견,흰,암컷,아니오,20일 추정,2020-05-08
569,1,경기,개,믹스견,흰,수컷,아니오,20일 추정,2020-05-08
576,1,경기,개,케인 코르소,검,암컷,아니오,빨간목줄착용,2020-05-08
577,1,경기,개,믹스견,흰,암컷,아니오,20일 추정,2020-05-08
578,1,경기,개,믹스견,흰,암컷,아니오,20일 추정,2020-05-08
579,1,경기,개,믹스견,흰,수컷,아니오,20일 추정,2020-05-08
580,1,경기,개,믹스견,흰,수컷,아니오,20일 추정,2020-05-08
581,1,경기,개,믹스견,흰,암컷,아니오,20일 추정,2020-05-08
582,1,경기,개,스피츠,흰,수컷,아니오,진드기있음,2020-05-08
583,0,경기,개,믹스견,흰,수컷,아니오,6개월추정,2020-05-08
587,1,경기,개,말티즈,흰,암컷,미상,"노라목줄,흰핑옷착용,전체적으로피부각질심함,치석심함",2020-05-08
594,1,경기,개,믹스견,흰,암컷,아니오,어리고 순함.,2020-05-08
607,1,광주,개,말티즈,흰,암컷,미상,"20-0667 그레, 피부병, 내장칩 - 정보없음",2020-05-08
608,1,광주,개,말티즈,흰,암컷,미상,"20-0664 아리, 목줄착용",2020-05-08
609,1,광주,개,포메라니안,황,수컷,아니오,20-0662 리온,2020-05-08
617,1,광주,개,말티즈,흰,암컷,미상,"20-0667 그레, 피부병, 내장칩 - 정보없음",2020-05-08
618,1,광주,개,말티즈,흰,암컷,미상,"20-0664 아리, 목줄착용",2020-05-08
619,1,광주,개,포메라니안,황,수컷,아니오,20-0662 리온,2020-05-08
620,0,광주,개,믹스견,흰,수컷,미상,20-0661 이세,2020-05-08
621,1,광주,개,말티즈,흰,수컷,아니오,"20-0665 레드, 옷,기저귀착용",2020-05-08
633,1,인천,개,푸들,흰,수컷,아니오,호색바탕빨강끝선옷착용/백내장/전체미용,2020-05-08
637,1,인천,개,진도견,흰,수컷,예,순함,2020-05-08
647,0,대구,개,믹스견,황,수컷,아니오,겁 많음,2020-05-08
653,0,부산,개,푸들,검,수컷,예,피부병,2020-05-08
655,1,부산,개,믹스견,검,수컷,아니오,"검정색 목줄, 동물등록칩(410.1000.12261.581)",2020-05-08
656,0,부산,개,믹스견,황,수컷,아니오,예민함,2020-05-08
657,0,부산,개,믹스견,흰,암컷,미상,흰색,2020-05-08
660,1,서울,개,포메라니안,흰,수컷,예,"탈수있음, 치석심함, 꼬리상처있음, 알로페시아(클리핑)증후군",2020-05-08
662,1,서울,개,라브라도 리트리버,검,수컷,아니오,"순하고사람잘따름,치아깨끗,칩없음",2020-05-08
664,0,전남,개,믹스견,검,암컷,아니오,마을에서 돌아다닌 다는 신고로 포획 보호,2020-05-07
666,1,전남,개,믹스견,흰,수컷,미상,3개월령 믹스견,2020-05-07
667,0,전남,개,믹스견,흰,암컷,아니오,대마산업단지 버려진 공장에서 돌아다니 던 중 포획,2020-05-07
668,0,전남,개,믹스견,황,수컷,아니오,빈집에서 돌아다닌다는 신고로 구조 및 보호,2020-05-07
669,0,전북,개,믹스견,흰,수컷,미상,"다리 부러진채 발견, 6개월령 수컷",2020-05-07
670,0,충북,개,믹스견,황,수컷,아니오,피부병이 심함,2020-05-07
671,0,충북,개,믹스견,흰,암컷,아니오,건강상태 양호,2020-05-07
672,0,충북,개,믹스견,황,수컷,아니오,경계심이 심함,2020-05-07
679,1,경기,개,라브라도 리트리버,황,암컷,아니오,순함,2020-05-07
680,0,경남,개,믹스견,황,수컷,아니오,겁이 많고 사람을 겁내함,2020-05-07
684,1,세종,개,포메라니안,흰,수컷,아니오,"빨간색 가슴줄, 녹색줄. 이마 검정털",2020-05-07
689,1,경남,개,믹스견,흰,암컷,아니오,"3개월추정, 두마리 같이 입소, 겁 많음",2020-05-07
690,0,경남,개,믹스견,흰,수컷,아니오,"3ㅐ월추정, 두마리 같이 입소, 겁 많음",2020-05-07
691,0,전북,개,믹스견,흰,암컷,미상,"교통사고 당함(다리 부상), 흰색 1살 암컷",2020-05-07
695,1,전북,개,믹스견,흰,수컷,아니오,진도믹스개이며 갈색목태을하고있음,2020-05-07
701,1,인천,개,믹스견,흰,암컷,미상,5-7.8.9.10번 어미견,2020-05-07
702,1,인천,개,믹스견,흰,수컷,미상,2월추정,2020-05-07
703,0,인천,개,믹스견,흰,암컷,미상,2월추정,2020-05-07
704,1,인천,개,믹스견,흰,암컷,미상,2월추정,2020-05-07
705,1,인천,개,믹스견,흰,암컷,미상,2월추정,2020-05-07
711,1,인천,개,믹스견,흰,암컷,미상,5-7.8.9.10번 어미견,2020-05-07
712,1,인천,개,믹스견,흰,수컷,미상,2월추정,2020-05-07
713,0,인천,개,믹스견,흰,암컷,미상,2월추정,2020-05-07
714,1,인천,개,믹스견,흰,암컷,미상,2월추정,2020-05-07
715,1,인천,개,믹스견,흰,암컷,미상,2월추정,2020-05-07
722,0,인천,개,믹스견,황,수컷,아니오,"포획트랩 으로 포획,사람을 경계함",2020-05-07
725,0,인천,개,믹스견,검,암컷,아니오,"포획트랩 으로 포획,사람을 경계함",2020-05-07
730,1,인천,개,말티즈,흰,암컷,미상,핑크색옷/온순함,2020-05-07
731,0,충북,개,믹스견,검,암컷,미상,자견같이 발견.,2020-05-07
732,0,충북,개,믹스견,검,수컷,아니오,모견같이 발견.,2020-05-07
740,0,제주,개,믹스견,흰,암컷,미상,"(개체관리번호2395)파란징목줄, 심장사상충",2020-05-07
741,0,제주,개,믹스견,황,수컷,아니오,(개체관리번호2394)생후2개월,2020-05-07
742,0,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2393)생후7개월,2020-05-07
743,0,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2392)생후6개월,2020-05-07
745,0,제주,개,믹스견,황,암컷,미상,(개체관리번호2390)경계심,2020-05-07
746,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2389)생후6개월,2020-05-07
747,0,제주,개,믹스견,검,암컷,아니오,(개체관리번호2388)생후7개월,2020-05-07
748,0,제주,개,믹스견,검,암컷,아니오,(개체관리번호2387)생후7개월,2020-05-07
749,0,제주,개,믹스견,황,수컷,아니오,(개체관리번호2386)생후6개월,2020-05-07
750,0,제주,개,믹스견,황,암컷,아니오,(개체관리번호2385)생후6개월,2020-05-07
751,0,제주,개,믹스견,흰,암컷,미상,(개체관리번호2384)파란목줄 착용,2020-05-07
752,0,제주,개,믹스견,흰,암컷,아니오,"(개체관리번호2383)심장사상충, 경계심",2020-05-07
753,0,제주,개,믹스견,황,수컷,아니오,(개체관리번호2382)생후1개월,2020-05-07
754,0,제주,개,믹스견,흰,수컷,아니오,(개체관리번호2381)생후1개월,2020-05-07
755,0,제주,개,믹스견,흰,암컷,미상,(개체관리번호2379)경계심,2020-05-07
756,0,제주,개,믹스견,황,수컷,미상,"(개체관리번호2378)심장사상충, 경계심",2020-05-07
757,1,제주,개,믹스견,황,수컷,미상,"(개체관리번호2377)국방색 목줄 착용, 경계심",2020-05-07
758,0,제주,개,믹스견,흰,수컷,미상,"(개체관리번호2376)파/빨목줄 착용, 목줄조임상처, 경계심",2020-05-07
759,0,제주,개,믹스견,흰,암컷,아니오,(개체관리번호2374) 생후10개월,2020-05-07
761,0,제주,개,믹스견,황,수컷,미상,(개체관리번호2372)빨간징목줄착용,2020-05-07
762,1,제주,개,믹스견,흰,암컷,미상,(개체관리번호2371)밤색목줄 착용,2020-05-07
763,0,경남,개,포메라니안,흰,수컷,미상,"626, 미용됨",2020-05-07
764,0,경남,개,믹스견,흰,수컷,미상,625,2020-05-07
765,0,경남,개,믹스견,흰,수컷,미상,624,2020-05-07
766,0,경남,개,믹스견,흰,암컷,미상,623,2020-05-07
768,1,경남,개,사모예드,흰,수컷,미상,621,2020-05-07
770,1,경남,개,포메라니안,황,암컷,미상,순함,2020-05-07
773,0,전남,개,믹스견,흰,암컷,아니오,사람 잘 따름,2020-05-07
774,1,전남,개,말티즈,흰,수컷,미상,"순하고 잘따름,관리됨,",2020-05-07
776,0,전남,개,믹스견,흰,수컷,미상,"심한경계,산책중인 반려견을 위협하는 야생견",2020-05-07
778,1,전남,개,푸들,황,수컷,미상,"빨강체크무늬옷 착용,관리 및 미용됨,순함",2020-05-07
779,1,전남,개,믹스견,흰,암컷,미상,"경계,가죽목줄,발정중,무리지어 돌아다님",2020-05-07
780,0,전남,개,믹스견,황,암컷,미상,"건강한 야생자견,5주령추정",2020-05-07
781,1,전남,개,믹스견,황,암컷,미상,"건강한 야생자견,5주령추정",2020-05-07
782,1,전남,개,믹스견,황,암컷,미상,"건강한 야생자견,5주령추정",2020-05-07
783,1,전남,개,믹스견,황,암컷,미상,"건강한 야생자견,5주령추정",2020-05-07
784,1,전남,개,믹스견,황,암컷,미상,"건강한 야생자견,5주령추정",2020-05-07
785,1,전남,개,믹스견,흰,수컷,미상,"종이상자에 담겨 유기됨,건강하고 귀여움,4주령추정",2020-05-07
786,1,전남,개,믹스견,흰,수컷,미상,"종이상자에 담겨 유기됨,건강하고 귀여움,4주령추정",2020-05-07
787,0,전남,개,믹스견,흰,암컷,미상,"종이상자에 담겨 유기됨,건강하고 귀여움,4주령추정",2020-05-07
802,1,강원,개,믹스견,흰,암컷,아니오,"2개월 추정,자견",2020-05-07
804,0,경기,개,믹스견,황,암컷,미상,초록바탕에 노란줄 목걸이 착용. 양귀반접힘. 코검정. 얀전함. 사람따름. 꼬리단미안됨.,2020-05-07
805,1,경기,개,믹스견,흰,암컷,미상,파란바탕에 노란줄 목걸이 착용. 양귀쫑긋. 눈곱. 눈물자국. 코분홍+검정. 얌전함. 사람좋아함.,2020-05-07
812,1,강원,개,믹스견,흰,암컷,아니오,"2개월 추정,자견",2020-05-07
814,0,경기,개,믹스견,황,암컷,미상,초록바탕에 노란줄 목걸이 착용. 양귀반접힘. 코검정. 얀전함. 사람따름. 꼬리단미안됨.,2020-05-07
